playerId,playerName,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,on_off_corsi_diff,OnIce_F_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,average_corsi_influence,total_out_influence
8480990,Declan Chisholm,2,1554.0,32.0,1.05,0.67,0.58,0.62,0.53,0.58,0.53,11.0,2.87,0.07,0.14,0.72,0.08,1.77,1.21,0.07,0.08,0.08,0.0,0.0,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,10.01,4.0,4.42,0.0,0.03,0.0,0.0,0.1,0.11,0.11,32.0,2.0,0.0,5.0,25.0,3.0,5.0,2.0,22.0,0.0,0.0,3924.0,0.0,0.0,0.0,1.0,13.45,0.93,0.92,0.99,0.98,14.0,5.0,10.0,29.0,1.0,0.0,0.0,16.0,2.0,1.0,0.47,0.24,0.22,0.0,0.0,1.0,31.73,19.0,20.48,0.17,0.0,0.0,1.1,1.17,1.16,9.86,0.47,0.47,0.45,0.45,10.0,4.0,4.0,18.0,0.0,0.0,0.0,12.0,2.0,0.0,0.21,0.26,0.0,0.0,0.0,0.0,16.52,14.0,12.91,0.13,0.0,0.0,0.59,0.57,0.56,2.73,1.96,61.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0899999999999999,2.3166023166023164,0.0,2.3166023166023164,777.0,2.3166023166023164,2.3166023166023164,0.0,2.3166023166023164,4.633204633204633,0.0,11.58301158301158,57.91505791505792,,
8481167,Brayden Pachal,2,1171.0,29.0,0.28,0.69,0.49,0.61,0.52,0.64,0.55,12.0,1.26,0.05,0.08,0.34,0.03,0.89,0.6,0.05,0.05,0.05,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.9,2.0,1.92,1.0,0.02,0.0,0.0,0.07,0.07,0.06,29.0,7.0,0.0,2.0,20.0,5.0,2.0,3.0,19.0,0.0,0.0,4913.0,0.0,0.0,0.0,1.0,11.75,1.05,1.02,1.04,1.01,13.0,3.0,9.0,25.0,0.0,1.0,0.0,11.0,4.0,1.0,0.35,0.44,0.26,0.0,0.0,0.0,23.71,16.0,15.49,0.17,0.26,0.26,0.97,0.96,0.95,7.01,0.47,0.47,0.47,0.47,6.0,3.0,7.0,16.0,2.0,0.0,0.0,5.0,4.0,0.0,0.11,0.37,0.0,0.0,2.0,0.0,16.28,9.0,9.24,0.08,0.0,0.0,0.55,0.55,0.55,3.22,3.31,79.0,74.0,0.0,0.18,0.0,1.0,0.0,1.0,0.0899999999999999,0.0,3.0742954739538857,3.0742954739538857,585.5,6.148590947907771,3.0742954739538857,0.0,3.0742954739538857,21.5200683176772,0.0,6.148590947907771,61.485909479077705,,
8480071,Robin Salo,21,18681.0,404.0,2.6,0.42,0.53,0.44,0.5,0.43,0.5,95.0,12.59,0.39,0.72,3.6,0.41,7.94,5.93,0.39,0.39,0.38,2.0,0.0,17.0,2.0,12.0,31.0,3.0,1.0,0.0,0.0,3.0,0.0,7.0,8.0,16.0,18.0,2.0,4.0,0.0,5.0,4.0,13.0,19.0,0.0,0.0,0.39,0.0,0.0,1.0,0.0,0.0,30.78,19.0,18.86,12.0,0.14,0.0,0.02,0.51,0.5,0.5,404.0,37.0,35.0,64.0,268.0,49.0,54.0,38.0,263.0,0.0,0.0,43707.0,4.0,0.0,0.0,23.0,107.47,8.98,8.88,8.69,8.59,112.0,41.0,67.0,220.0,7.0,5.0,0.0,112.0,32.0,9.0,3.4,3.47,2.11,3.0,3.0,1.0,215.29,153.0,148.66,1.5,0.6,0.6,9.88,9.53,9.45,144.63,12.23,11.86,12.8,12.42,144.0,60.0,73.0,277.0,11.0,7.0,1.0,164.0,26.0,14.0,5.08,3.19,3.96,4.0,3.0,4.0,286.71,204.0,212.16,1.98,1.96,1.96,12.25,12.85,12.65,30.11,26.22,625.0,631.0,1.63,0.16,31.0,6.0,24.0,5.0,-0.06,1.3489641882126224,2.312510036935924,2.5052192066805845,889.5714285714286,0.9635458487233016,0.7708366789786414,0.578127509233981,4.432310904127188,7.130239280552433,6.744820941063113,12.333386863658262,51.646057491568975,-1.8149300625587488,-1.8149300625587488
8482655,J.J. Moser,43,39609.0,868.0,3.95,0.39,0.44,0.42,0.44,0.4,0.43,195.0,35.94,1.82,2.37,9.82,1.25,22.99,15.75,1.79,1.78,1.75,5.0,3.0,31.0,23.0,27.0,81.0,11.0,3.0,3.0,0.0,11.0,1.0,15.0,21.0,28.0,51.0,6.0,12.0,0.0,27.0,7.0,21.0,52.0,1.0,1.0,1.42,0.17,0.23,2.0,0.0,1.0,78.77,54.0,52.08,17.0,0.47,0.61,0.06,2.23,2.17,2.14,868.0,46.0,118.0,155.0,549.0,79.0,121.0,121.0,547.0,0.0,0.0,88219.0,12.0,12.0,6.0,47.0,257.67,22.93,22.32,22.64,22.06,256.0,109.0,124.0,489.0,33.0,24.0,4.0,267.0,82.0,16.0,8.35,10.15,4.43,11.0,18.0,4.0,479.37,365.0,359.77,3.7,4.46,4.65,21.98,21.84,21.62,386.96,35.32,33.7,36.33,34.62,390.0,148.0,150.0,688.0,45.0,42.0,9.0,397.0,104.0,37.0,12.15,12.71,10.46,21.0,14.0,10.0,703.53,538.0,549.58,5.58,9.19,9.19,31.71,32.46,31.89,53.88,69.49,1171.0,1517.0,2.48,0.3,49.0,9.0,38.0,6.0,-0.02,2.99931833674165,1.5451033855941831,1.9086571233810496,921.1395348837208,2.4539877300613497,0.6362190411270165,0.9997727789138832,4.271756418995683,4.180867984548966,10.724835264712569,14.08770733924108,49.897750511247445,-2.383270492422413,-2.383270492422413
8479534,Linus Hogberg,5,4763.0,104.0,0.43,0.39,0.58,0.42,0.56,0.42,0.57,17.0,1.75,0.05,0.11,0.43,0.06,1.45,0.9,0.05,0.05,0.05,0.0,1.0,3.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.85,3.0,2.9,4.0,0.02,0.0,0.0,0.07,0.07,0.07,104.0,7.0,14.0,10.0,73.0,10.0,17.0,10.0,67.0,0.0,0.0,9062.0,2.0,0.0,0.0,6.0,36.77,2.78,2.71,2.77,2.71,38.0,11.0,13.0,62.0,1.0,2.0,0.0,36.0,11.0,2.0,0.85,1.4,0.53,1.0,0.0,0.0,62.13,49.0,49.26,0.46,0.45,0.45,2.79,2.81,2.79,50.64,4.28,4.15,4.22,4.09,53.0,16.0,16.0,85.0,1.0,6.0,0.0,50.0,14.0,5.0,1.47,1.53,1.27,1.0,0.0,0.0,83.71,69.0,68.08,0.74,0.91,0.91,4.1,4.05,3.98,8.46,6.07,164.0,128.0,0.64,0.06,6.0,1.0,5.0,1.0,-0.14,0.7558261599832039,3.023304639932816,3.023304639932816,952.6,0.0,2.267478479949612,0.7558261599832039,4.534956959899223,5.290783119882427,10.581566239764854,7.558261599832038,55.175309678773885,,
8481461,Corey Schueneman,24,21463.0,410.0,4.75,0.42,0.46,0.46,0.48,0.46,0.48,100.0,27.85,1.12,1.64,8.06,0.94,16.98,12.26,1.1,1.11,1.09,2.0,1.0,24.0,17.0,15.0,56.0,5.0,2.0,2.0,0.0,3.0,1.0,7.0,26.0,22.0,39.0,4.0,8.0,0.0,13.0,4.0,12.0,39.0,2.0,0.0,0.95,0.17,0.0,2.0,0.0,0.0,54.6,41.0,40.43,9.0,0.33,0.58,0.04,1.41,1.4,1.38,410.0,47.0,38.0,82.0,243.0,63.0,81.0,40.0,226.0,0.0,0.0,48505.0,8.0,6.0,3.0,32.0,168.22,14.44,14.14,14.31,14.02,171.0,61.0,78.0,310.0,10.0,10.0,2.0,171.0,49.0,12.0,4.85,6.41,3.18,6.0,1.0,3.0,301.88,232.0,227.09,2.42,2.17,2.17,14.69,14.56,14.33,206.33,20.26,19.4,20.79,19.89,219.0,58.0,91.0,368.0,15.0,21.0,3.0,192.0,63.0,22.0,6.16,8.29,5.81,4.0,9.0,2.0,377.66,277.0,282.77,3.02,5.02,5.02,18.27,18.64,18.35,33.3,38.5,707.0,753.0,0.83,0.11,20.0,4.0,19.0,4.0,-0.0199999999999999,1.6773051297581885,1.5095746167823698,2.012766155709826,894.2916666666666,2.180496668685645,0.6709220519032754,0.8386525648790942,5.367376415226203,7.883334109863487,6.373759493081117,13.753902064017144,40.75851465312398,-0.3246331204737659,-0.3246331204737659
8481849,Zachary Hayes,3,1903.0,49.0,0.13,0.55,0.56,0.55,0.53,0.49,0.55,17.0,1.39,0.04,0.07,0.5,0.05,0.76,0.58,0.04,0.04,0.04,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,6.16,2.0,1.93,3.0,0.01,0.0,0.0,0.06,0.06,0.05,49.0,11.0,1.0,6.0,31.0,6.0,10.0,3.0,30.0,0.0,0.0,6825.0,0.0,0.0,0.0,1.0,17.21,1.5,1.37,1.53,1.39,16.0,7.0,11.0,34.0,0.0,0.0,0.0,15.0,6.0,2.0,0.43,0.65,0.43,0.0,0.0,0.0,34.91,23.0,23.27,0.26,0.0,0.0,1.77,1.8,1.64,17.28,1.25,1.25,1.25,1.25,17.0,7.0,4.0,28.0,2.0,0.0,0.0,17.0,7.0,0.0,0.47,0.78,0.0,0.0,2.0,0.0,27.67,24.0,24.05,0.22,0.0,0.0,1.48,1.47,1.47,5.65,4.51,134.0,118.0,0.15,0.0,3.0,0.0,3.0,0.0,0.02,0.0,5.675249605885444,5.675249605885444,634.3333333333334,22.700998423541776,0.0,0.0,1.891749868628481,20.809248554913296,1.891749868628481,11.350499211770888,58.64424592748293,,
8479421,Jacob Moverare,19,16760.0,351.0,5.83,0.5,0.58,0.54,0.56,0.54,0.58,87.0,11.04,0.31,0.62,3.03,0.35,7.5,5.2,0.3,0.3,0.29,1.0,1.0,15.0,2.0,10.0,27.0,2.0,0.0,0.0,0.0,6.0,1.0,3.0,7.0,15.0,17.0,1.0,2.0,0.0,13.0,1.0,2.0,17.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,26.05,17.0,16.37,2.0,0.12,0.0,0.0,0.43,0.41,0.41,351.0,32.0,29.0,68.0,222.0,39.0,47.0,42.0,223.0,0.0,0.0,40538.0,2.0,0.0,0.0,16.0,138.29,11.29,11.05,11.26,11.02,146.0,47.0,72.0,265.0,10.0,8.0,1.0,148.0,36.0,9.0,4.64,4.26,2.39,4.0,3.0,3.0,263.17,193.0,191.56,1.9,1.32,1.14,12.05,12.0,11.8,124.43,11.29,10.87,11.53,11.1,121.0,45.0,57.0,223.0,7.0,14.0,2.0,115.0,38.0,13.0,3.49,4.52,3.28,3.0,1.0,3.0,224.8,166.0,167.93,1.72,3.26,3.26,9.75,9.9,9.7,37.49,27.13,719.0,555.0,3.31,0.15,38.0,4.0,34.0,3.0,-0.02,2.1479713603818618,0.4295942720763723,0.4295942720763723,882.1052631578947,2.79236276849642,0.2147971360381861,0.4295942720763723,3.436754176610979,6.873508353221958,6.229116945107399,14.606205250596656,47.68496420047733,-0.2443829985233407,-0.2443829985233407
8480878,Nils Lundkvist,25,18668.0,412.0,2.25,0.44,0.5,0.42,0.45,0.43,0.46,146.0,19.34,0.49,0.97,5.08,0.57,11.76,9.13,0.48,0.51,0.51,1.0,1.0,20.0,8.0,12.0,40.0,2.0,0.0,1.0,0.0,8.0,1.0,10.0,8.0,20.0,28.0,0.0,0.0,0.0,14.0,3.0,14.0,27.0,1.0,0.0,0.4,0.08,0.0,0.0,0.0,0.0,41.2,28.0,28.57,10.0,0.19,0.22,0.0,0.68,0.7,0.7,412.0,34.0,22.0,54.0,302.0,57.0,72.0,38.0,245.0,0.0,0.0,55032.0,0.0,4.0,2.0,15.0,138.75,11.16,10.93,11.51,11.27,142.0,48.0,45.0,235.0,13.0,9.0,3.0,146.0,33.0,11.0,3.96,4.0,3.19,7.0,3.0,3.0,243.51,190.0,195.64,1.85,2.57,2.57,10.44,10.73,10.64,181.54,14.13,13.8,13.89,13.57,184.0,70.0,68.0,322.0,9.0,12.0,2.0,196.0,48.0,10.0,5.93,5.59,2.6,3.0,5.0,1.0,315.67,254.0,249.79,2.47,1.84,1.84,14.76,14.49,14.32,36.0,36.43,734.0,890.0,0.59,0.52,15.0,5.0,12.0,4.0,-0.03,2.5069637883008355,1.928433683308335,2.6998071566316693,746.72,2.6998071566316693,0.5785301049925006,0.385686736661667,2.8926505249625025,6.55667452324834,4.242554103278337,10.41354188986501,58.23869723591172,-1.2856875653836186,-1.2856875653836186
8481521,Ronnie Attard,15,12854.0,288.0,5.45,0.52,0.49,0.52,0.45,0.52,0.46,67.0,15.78,0.83,1.02,4.38,0.55,9.79,6.43,0.79,0.79,0.76,2.0,0.0,13.0,10.0,16.0,39.0,4.0,2.0,2.0,0.0,0.0,1.0,8.0,10.0,11.0,21.0,4.0,8.0,0.0,22.0,4.0,9.0,22.0,0.0,1.0,0.57,0.0,0.26,2.0,0.0,0.0,38.15,23.0,22.66,7.0,0.21,0.37,0.3,0.74,0.72,0.7,288.0,14.0,30.0,47.0,197.0,32.0,35.0,35.0,186.0,0.0,0.0,30642.0,8.0,4.0,2.0,14.0,110.93,10.94,10.13,10.9,10.08,116.0,35.0,60.0,211.0,12.0,13.0,3.0,114.0,21.0,16.0,3.52,2.82,4.6,5.0,4.0,3.0,209.69,151.0,150.97,1.6,3.56,3.56,8.99,8.92,8.81,104.5,9.96,9.66,10.28,9.96,104.0,38.0,50.0,192.0,13.0,10.0,2.0,95.0,37.0,10.0,2.9,4.5,2.55,3.0,7.0,3.0,195.62,142.0,144.38,1.48,2.15,2.15,9.29,9.49,9.35,21.63,22.84,421.0,511.0,1.16,0.15,20.0,1.0,17.0,1.0,0.07,3.3608215341527927,1.960479228255796,2.520616150614595,856.9333333333333,6.161506145946787,1.1202738447175975,1.1202738447175975,3.920958456511592,3.920958456511592,8.402053835381981,13.163217675431772,55.17348685234169,,
